key,name,cap,document_date,url,header,cash_flow,dollar_sign,average volume,EMA traded dollar amount,points
BMM,BALKAN MINING AND MINERALS LIMITED,13435843,2023-04-28T01:33:17+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p31f9bsxjq75.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2866000.0,$A,48328,9422.387349076158,2
CCE,CARNEGIE CLEAN ENERGY LIMITED,15642574,2023-04-28T09:47:00+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3ysmv3wzdbp.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,2865000.0,$A,1565064,1732.74046875872,1
LMG,LATROBE MAGNESIUM LIMITED,99167044,2023-04-27T09:26:48+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1mhy76bydpk.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2853000.0,$A,887718,49793.238834998745,5
DM1,DESERT METALS LIMITED,4932793,2023-04-28T14:31:54+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4vfqrj9mh78.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2845000.0,$A,113642,11241.546764790457,3
BEZ,BESRA GOLD INC.,86479768,2023-04-28T08:29:46+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p38rps7fdchw.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2839000.0,$A,2537767,605646.8516951409,10
CHM,CHIMERIC THERAPEUTICS LIMITED,16172492,2023-04-28T17:11:45+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5jpzjb637q7.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,2825000.0,$A,510867,19655.58350603947,4
RNE,RENU ENERGY LIMITED,14977072,2023-04-28T08:37:36+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3bv2qj492vj.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,2821000.0,$A,743414,33621.67550227568,5
PEK,PEAK RARE EARTHS LIMITED,118932826,2023-04-28T16:31:25+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5fm6pbcq6nw.pdf,Quarterly Activities Report and Appendix 5B - March 2023 Qtr,2814000.0,$A,161154,85396.59396589072,6
AGC,AUSTRALIAN GOLD AND COPPER LTD,5500000,2023-04-28T11:35:24+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4bc6nx2pj8v.pdf,Quarterly Cashflow Report - March 2023,2808000.0,$A,186517,8141.236840955087,2
JRL,JINDALEE RESOURCES LIMITED,115905511,2023-04-28T12:45:17+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4jmmv198hr8.pdf,Quarterly Cashflow Report - March 2023,2801000.0,$A,21604,46046.61266351787,5
