key,name,cap,document_date,url,header,cash,cash_unit,debt,debt_unit
EMP,EMPEROR ENERGY LIMITED,3226350,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2bj6pxykd55.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,333,$A’000,Unused,$A’000
SFM,SANTA FE MINERALS LTD,3276846,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2404n29s5fz.pdf,Quarterly Activities and Cashflow Report,"2,524",$A’000,-,$A’000
NZS,NEW ZEALAND COASTAL SEAFOODS LIMITED,3308020,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3pb2pcmrvtr.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,98,$A’000,-,$A’000
HCT,HOLISTA COLLTECH LIMITED,3345601,2023-07-29,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s418tnm09vjc.pdf,Quarterly Activity and Cashflow Report,55,$A’000,896,$A’000
DBO,DIABLO RESOURCES LIMITED,3427000,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05ry5g91lxgsp1.pdf,Appendix 5B - Quarterly Cash Flow Report,"2,524",$A’000,-,$A’000
AMM,ARMADA METALS LIMITED,3432000,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s56yb4f0ykm4.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,628",$A’000,Unused,$A’000
DXN,DXN LIMITED,3442630,2023-07-24,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rxmkbk1dy3zq.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,268",$A’000,"4,000",$A’000
SCT,SCOUT SECURITY LIMITED,3460020,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s0j2q9k1xlcc.pdf,Appendix 4C and Quarterly Activities Report,"1,052",$A’000,"4,581",$A’000
DC2,DC TWO LIMITED,3529334,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4hpn82h7pnq.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,674,$A’000,"2,384",$A’000
AVM,ADVANCE METALS LIMITED,3531352,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rzqt0zkb4b2n.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,610,$A’000,-,$A’000
MTB,MOUNT BURGESS MINING NL,3532684,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5344d12zl66.pdf,Quarterly Appendix 5B Cash Flow Report,44,$A’000,4,$A’000
