key,name,cap,document_date,url,header,cash_flow,dollar_sign,debt_flow
HXL,HEXIMA LIMITED.,3173753,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1vkfmgzdsnx.pdf,Quarterly Activities Report and Appendix 4C - Jun-2023,2189000.0,$A,check
T3D,333D LIMITED,3189317,2023-07-11,https://announcements.asx.com.au/asxpdf/20230711/pdf/05rjp5hkwml8p6.pdf,Appendix 4C,72022.0,$A,0.0
ID8,IDENTITII LIMITED,3191977,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s60d95pfd6c0.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,1287000.0,$A,0.0
RCR,RINCON RESOURCES LIMITED,3225199,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3sm4ngc0hm2.pdf,Quarterly Cashflow Report,228000.0,$A,check
EMP,EMPEROR ENERGY LIMITED,3226350,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2bj6pxykd55.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,333000.0,$A,check
SFM,SANTA FE MINERALS LTD,3276846,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2404n29s5fz.pdf,Quarterly Activities and Cashflow Report,2524000.0,$A,0.0
NZS,NEW ZEALAND COASTAL SEAFOODS LIMITED,3308020,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3pb2pcmrvtr.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,98000.0,$A,0.0
HCT,HOLISTA COLLTECH LIMITED,3345601,2023-07-29,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s418tnm09vjc.pdf,Quarterly Activity and Cashflow Report,55000.0,$A,896000.0
DBO,DIABLO RESOURCES LIMITED,3427000,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05ry5g91lxgsp1.pdf,Appendix 5B - Quarterly Cash Flow Report,2524000.0,$A,0.0
AMM,ARMADA METALS LIMITED,3432000,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s56yb4f0ykm4.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1628000.0,$A,check
DXN,DXN LIMITED,3442630,2023-07-24,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rxmkbk1dy3zq.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,1268000.0,$A,4000000.0
SCT,SCOUT SECURITY LIMITED,3460020,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s0j2q9k1xlcc.pdf,Appendix 4C and Quarterly Activities Report,1052000.0,$A,4581000.0
DC2,DC TWO LIMITED,3529334,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4hpn82h7pnq.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,674000.0,$A,2384000.0
AVM,ADVANCE METALS LIMITED,3531352,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rzqt0zkb4b2n.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,610000.0,$A,0.0
MTB,MOUNT BURGESS MINING NL,3532684,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5344d12zl66.pdf,Quarterly Appendix 5B Cash Flow Report,44000.0,$A,check
XST,XSTATE RESOURCES LIMITED,3536711,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5z0n2mqb5fr.pdf,June 2023 Quarterly Activities and Cash Flow Report,118000.0,$A,check
DMG,DRAGON MOUNTAIN GOLD LIMITED,3552045,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5qwjt9l3n00.pdf,Quarterly Activity and Cashflow Statement,694000.0,$A,0.0
PIM,PINNACLE MINERALS LIMITED,3564770,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05ryx8swcnz9d4.pdf,Quarterly Activity and Cashflow Report,2423000.0,$A,check
CSF,CATALANO SEAFOOD LTD,3605580,2023-07-19,https://announcements.asx.com.au/asxpdf/20230719/pdf/05rscw2hgvfwxt.pdf,Quarterly Cashflow Report,556000.0,$A,994000.0
ANR,ANATARA LIFESCIENCES LTD,3657682,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5k920lp3xh6.pdf,Appendix 4C & Q4 FY23 Activities Report,351000.0,$A,0.0
OCT,OCTAVA MINERALS LIMITED,3691654,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s0snpjpj5d1h.pdf,June Quarter Activities Report & Appendix 5B,3361000.0,$A,0.0
DM1,DESERT METALS LIMITED,3699595,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4tkzxdwbdm7.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1969000.0,$A,0.0
C29,C29 METALS LIMITED,3710386,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1y4796gxvh6.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1306000.0,$A,0.0
KNB,KOONENBERRY GOLD LIMITED,3712222,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rxzrk333srql.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1908000.0,$A,0.0
ENT,ENTERPRISE METALS LIMITED,3747355,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5vvyhx184vf.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,317000.0,$A,check
CBY,CANTERBURY RESOURCES LIMITED,3757612,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s265bkmgcp1w.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,295000.0,$A,0.0
