"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"AZY","ANTIPA MINERALS LIMITED","Materials","20/04/2011",46761669
"B4P","BEFOREPAY GROUP LIMITED","Financial Services","17/01/2022",19986349
"BAP","BAPCOR LIMITED","Consumer Discretionary Distribution & Retail","24/04/2014",1988957250
"BAS","BASS OIL LIMITED","Energy","30/09/2004",20129583
"BAT","BATTERY MINERALS LIMITED","Materials","29/10/2012",11862116
"BBC","BNK BANKING CORPORATION LIMITED","Banks","22/05/2012",56391717
"BBL","BRISBANE BRONCOS LIMITED","Media & Entertainment","12/05/1989",92158194
"BBN","BABY BUNTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","14/10/2015",157840592
"BBT","BLUEBET HOLDINGS LTD","Consumer Services","02/07/2021",35035215
"BBX","BBX MINERALS LIMITED","Materials","12/08/2005",23889970
"BC8","BLACK CAT SYNDICATE LIMITED","Materials","30/01/2018",94630381
"BCA","BLACK CANYON LIMITED","Materials","05/05/2021",9826004
"BCB","BOWEN COKING COAL LIMITED","Materials","22/06/1995",318009357
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","Technology Hardware & Equipment","06/11/1986",13395398
"BCI","BCI MINERALS LIMITED","Materials","15/12/2006",260468288
"BCK","BROCKMAN MINING LIMITED","Materials","11/01/2011",296967428
"BCN","BEACON MINERALS LIMITED","Materials","20/10/2006",105189509
"BCT","BLUECHIIP LIMITED","Technology Hardware & Equipment","09/06/2011",14944940
"BDG","BLACK DRAGON GOLD CORP.","Materials","29/08/2018",7023452
"BDM","BURGUNDY DIAMOND MINES LIMITED","Materials","04/01/2013","SUSPENDED"
"BDT","BIRDDOG TECHNOLOGY LIMITED","Technology Hardware & Equipment","20/12/2021",28098062
"BDX","BCAL DIAGNOSTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/07/2021",17761278
"BEE","BROO LTD","Food, Beverage & Tobacco","14/10/2016","SUSPENDED"
"BEL","BENTLEY CAPITAL LIMITED","Not Applic","07/11/1986",3882524
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","Banks","19/12/1985",4739561935
"BET","BETMAKERS TECHNOLOGY GROUP LTD","Consumer Services","11/12/2015",108507284
"BEX","BIKEEXCHANGE LIMITED","Consumer Discretionary Distribution & Retail","09/02/2021",6725901
"BEZ","BESRA GOLD INC.","Materials","08/10/2021",80302641
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","Food, Beverage & Tobacco","28/08/2015",17973422
"BFG","BELL FINANCIAL GROUP LIMITED","Financial Services","12/12/2007",282254674
"BFL","BSP FINANCIAL GROUP LIMITED","Banks","25/05/2021",2270689098
"BGA","BEGA CHEESE LIMITED","Food, Beverage & Tobacco","19/08/2011",1043570571
"BGD","BARTON GOLD HOLDINGS LIMITED","Materials","28/06/2021",52347440
